equivalence_id,member_count,base_name,render_bucket,members,basis
SHADER_EQ_0110,2,normal_spec,3,normal_spec_cutout.sps | normal_spec_screendooralpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0111,1,normal_spec_tnt,3,normal_spec_cutout_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0112,1,normal_spec_decal,2,normal_spec_decal.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0113,1,normal_spec_decal_detail,2,normal_spec_decal_detail.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0114,1,normal_spec_decal_nopuddle,2,normal_spec_decal_nopuddle.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0115,1,normal_spec_decal_pxm,2,normal_spec_decal_pxm.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0116,1,normal_spec_decal_tnt,2,normal_spec_decal_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0117,1,normal_spec_detail,0,normal_spec_detail.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0118,1,normal_spec_detail_dpm,0,normal_spec_detail_dpm.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0119,1,normal_spec_detail_dpm_tnt,0,normal_spec_detail_dpm_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0120,1,normal_spec_detail_dpm_vertdecal_tnt,0,normal_spec_detail_dpm_vertdecal_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0121,1,normal_spec_detail_tnt,0,normal_spec_detail_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0122,1,normal_spec_dpm,0,normal_spec_dpm.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0123,1,normal_spec_emissive,0,normal_spec_emissive.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0124,1,normal_spec_pxm,0,normal_spec_pxm.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0125,2,normal_spec_pxm_tnt,0,normal_spec_pxm_tnt.sps | normal_spec_tnt_pxm.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0126,1,normal_spec_reflect,0,normal_spec_reflect.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0127,1,normal_spec_reflect,1,normal_spec_reflect_alpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0128,1,normal_spec_reflect_decal,2,normal_spec_reflect_decal.sps,"same base shader, render bucket, parameters and layouts"
