selector,equivalence_id,member_count,base_name,render_bucket,structure_fingerprint,members,basis
normal_spec_detail_dpm_vertdecal_tnt.sps,SHADER_EQ_0120,1,normal_spec_detail_dpm_vertdecal_tnt,0,81c974d5113e96e9,normal_spec_detail_dpm_vertdecal_tnt.sps,"same base shader, render bucket, parameters and layouts"
normal_spec_detail_tnt.sps,SHADER_EQ_0121,1,normal_spec_detail_tnt,0,8ecd1f0377a62d86,normal_spec_detail_tnt.sps,"same base shader, render bucket, parameters and layouts"
normal_spec_dpm.sps,SHADER_EQ_0122,1,normal_spec_dpm,0,29906242177f270e,normal_spec_dpm.sps,"same base shader, render bucket, parameters and layouts"
normal_spec_emissive.sps,SHADER_EQ_0123,1,normal_spec_emissive,0,458e757365676583,normal_spec_emissive.sps,"same base shader, render bucket, parameters and layouts"
normal_spec_pxm.sps,SHADER_EQ_0124,1,normal_spec_pxm,0,429d214eb5cd5bf4,normal_spec_pxm.sps,"same base shader, render bucket, parameters and layouts"
normal_spec_pxm_tnt.sps,SHADER_EQ_0125,2,normal_spec_pxm_tnt,0,2a9768f7d7e6b304,normal_spec_pxm_tnt.sps | normal_spec_tnt_pxm.sps,"same base shader, render bucket, parameters and layouts"
normal_spec_tnt_pxm.sps,SHADER_EQ_0125,2,normal_spec_pxm_tnt,0,2a9768f7d7e6b304,normal_spec_pxm_tnt.sps | normal_spec_tnt_pxm.sps,"same base shader, render bucket, parameters and layouts"
normal_spec_reflect.sps,SHADER_EQ_0126,1,normal_spec_reflect,0,9c34b8670090713d,normal_spec_reflect.sps,"same base shader, render bucket, parameters and layouts"
normal_spec_reflect_alpha.sps,SHADER_EQ_0127,1,normal_spec_reflect,1,9c34b8670090713d,normal_spec_reflect_alpha.sps,"same base shader, render bucket, parameters and layouts"
normal_spec_reflect_decal.sps,SHADER_EQ_0128,1,normal_spec_reflect_decal,2,1895d3efedf8e82b,normal_spec_reflect_decal.sps,"same base shader, render bucket, parameters and layouts"
normal_spec_reflect_emissivenight.sps,SHADER_EQ_0129,1,normal_spec_reflect_emissivenight,0,9605b036b22f32e8,normal_spec_reflect_emissivenight.sps,"same base shader, render bucket, parameters and layouts"
normal_spec_reflect_emissivenight_alpha.sps,SHADER_EQ_0130,1,normal_spec_reflect_emissivenight,1,9605b036b22f32e8,normal_spec_reflect_emissivenight_alpha.sps,"same base shader, render bucket, parameters and layouts"
normal_spec_tnt.sps,SHADER_EQ_0131,1,normal_spec_tnt,0,2500f7171085041a,normal_spec_tnt.sps,"same base shader, render bucket, parameters and layouts"
normal_spec_um.sps,SHADER_EQ_0132,1,normal_spec_um,0,468ea5e4db63468c,normal_spec_um.sps,"same base shader, render bucket, parameters and layouts"
normal_spec_wrinkle.sps,SHADER_EQ_0133,1,normal_spec_wrinkle,0,2f293ecf235451e1,normal_spec_wrinkle.sps,"same base shader, render bucket, parameters and layouts"
normal_terrain_wet.sps,SHADER_EQ_0134,1,normal_terrain_wet,0,c1e002d8a67b6839,normal_terrain_wet.sps,"same base shader, render bucket, parameters and layouts"
normal_tnt.sps,SHADER_EQ_0135,1,normal_tnt,0,d55a376bba462e6b,normal_tnt.sps,"same base shader, render bucket, parameters and layouts"
normal_tnt_alpha.sps,SHADER_EQ_0136,1,normal_tnt,1,d55a376bba462e6b,normal_tnt_alpha.sps,"same base shader, render bucket, parameters and layouts"
